Nome Escola,IDHM
VOVO IRMA,0.75255
RAUL FONSECA,0.8022272727272728
UNIEPRE,0.82375
ESCOLA DE CAPACITACAO PROFISSIONAL BOA VONTADE,0.6977058823529412
NOVA ESCOLA BRASIL,0.659
HELENA LEMMI PROFESSORA,0.8022272727272728
ESC PART SALAME MINGUE BERCARIO N E I,0.8719285714285715
IBRAP INSTITUTO BRASILEIRO DE PAISAGISMO,0.9056666666666667
ESC PART ATELIE CARAMBOLA ESCOLA DE INFANCIA,0.8719285714285715
CR P CONV JOSEPHINA SANTOS MAIA,0.75025
CARLOS AUGUSTO DE FREITAS VILLALVA JUNIOR DOUTOR,0.7381052631578948
ESC PART MUTSUMI YOTIEN,0.8719285714285715
COLEGIO PRAXIS UNIDADE JABAQUARA,0.7381052631578948
ESC PART FREITAS MOURA COLEGIO,0.7406666666666667
CR P CONV DOS ANJOS,0.7521153846153846
BARROSO ALMIRANTE,0.7381052631578948
BRASILIO MACHADO,0.8719285714285715
CR P CONV SEMENTINHA DA ESPERANCA,0.6898333333333333
COLEGIO ANGLO SAO PAULO,0.9056666666666667
CR P CONV MARGARIDA BRITO FARIAS SILVA,0.678825
CR P CONV TRANSFORMANDO VIDAS,0.7521153846153846
LASAR SEGALL,0.8719285714285715
MAPLE BEAR CANADIAN SCHOOL GRANJA JULIETA,0.8737777777777778
TEIA MULTICULTURAL ESCOLA DE ENSINO FUNDAMENTAL E MEDIO,0.8977
COLEGIO AUGUSTO MOREIRA,0.7916428571428572
MARIA PETRONILA LIMEIRA DOS MILAGRES MONTEIRO PROFESSORA,0.8737777777777778
ESCOLA CONCEPT,0.9293750000000001
ESCOLA GAIA EDUCA TEA,0.8113181818181818
LEOPOLDO SANTANA PROFESSOR,0.678825
JUVENTINA PATRICIA SANT ANA PROFESSORA,0.7202738095238095
CR P CONV ESPADINHA DE OURO,0.6678125
ESC PART PROGRESSO EIRELI - ME B E I,0.8022272727272728
ESCOLA CASTELO BERCARIO E EDUCACAO INFANTIL,0.7521153846153846
CEI INDIR ITAQUERA I,0.7070833333333333
CR P CONV CONCORDIA II,0.659
CR P CONV NUCLEO DO SABER,0.7743658536585366
CR P CONV CORUJINHA I,0.846625
CR P CONV CANTINHO DO SABER,0.7313061224489796
PAULO EIRO,0.8737777777777778
CR P CONV PRIMEIRO LAPIS II,0.7618666666666667
GREEN APPLE SCHOOL,0.8719285714285715
ALBERTO CONTE PROFESSOR,0.8737777777777778
LUIZ GONZAGA PINTO E SILVA PROFESSOR,0.7259758064516129
CR P CONV OLGA LOPES MALAGRINE,0.6977058823529412
CR P CONV LYGIA FAGUNDES TELLES,0.7406666666666667
CR P CONV ANDROS,0.697060606060606
ESC PART LITTLE BEE BERCARIO E ED INF BILLINGUE,0.7177777777777777
CRESCENTE BABY,0.7473157894736842
CR P CONV DIAMANTES,0.7932222222222223
CR P CONV VINICIUS DE MORAES,0.7644782608695652
BEATRIZ LOPES PROFA,0.6845731707317073
ESC PART SAFE STEP - UNIDADE BABY,0.8016
ESC PART SAFE STEP - UNIDADE KIDS,0.8016
ESC PART PRIMETIME CHILD DEVELOPMENT,0.7473157894736842
CR P CONV MONTEIRO LOBATO,0.7406666666666667
CR P CONV PEQUENOS PASSOS,0.82375
CEI INDIR ANTONIO JOAO DE MEDEIROS,0.6652340425531914
CR P CONV CIRANDA INFANTIL,0.7313061224489796
